Scala-Nr.;R;G;B;HBW;RAL
27.21.30;162;57;64;13,7;RAL 3031
27.24.24;180;38;36;14,6;RAL 3020
27.24.27;162;50;48;12,9;RAL 3000
27.24.30;153;48;51;11,4;RAL 3001
30.06.06;235;220;218;76,3;
30.06.09;222;204;204;65,6;
30.06.12;212;196;197;59,9;
30.06.15;183;169;169;43,9;
30.06.18;165;146;149;33,1;
30.06.21;139;116;119;21,5;
30.06.24;115;94;97;14,3;
30.06.27;94;74;79;9,8;
30.06.30;73;58;63;6,9;
30.09.03;248;228;225;84,0;
30.09.06;242;219;219;77,1;
30.09.09;229;202;202;65,5;
30.09.12;220;183;183;55,3;
30.09.15;212;159;160;43,6;
30.09.18;199;135;135;33,6;
30.09.21;156;115;116;22,6;
30.09.24;132;92;95;15,1;
30.09.27;105;67;73;9,3;
30.09.30;78;50;56;6,1;
30.12.21;162;105;109;20,9;
30.12.24;142;82;88;14,5;
30.12.27;114;63;71;9,4;
30.12.30;86;44;54;6,1;
30.15.06;249;216;215;76,6;
30.15.09;245;199;198;66,4;
30.15.12;235;179;178;56,0;
30.15.15;224;154;153;43,7;
30.15.18;209;131;129;34,2;
30.15.21;199;116;120;28,0;RAL 3014
30.15.24;181;98;98;21,7;
30.15.27;148;75;77;14,0;
30.15.30;128;57;69;9,7;
30.15.33;99;39;52;6,4;
30.18.12;239;174;180;55,0;
30.18.15;234;145;153;42,9;
30.18.18;217;106;117;28,7;
30.18.21;198;86;96;22,4;RAL 3017
30.18.24;196;69;81;19,2;RAL 3018
30.18.27;168;49;70;13,3;RAL 3027
30.18.30;141;40;53;9,4;
30.18.33;108;44;51;7,3;RAL 3004
30.21.21;198;86;103;22,2;
30.21.24;160;70;85;14,5;
30.24.21;177;55;65;15,0;
30.24.24;156;49;62;11,9;
33.06.03;239;233;232;84,9;
33.06.06;236;223;221;78,1;
33.06.09;218;205;204;66,0;
33.06.12;204;193;193;57,1;
33.06.15;184;173;174;45,4;
33.06.17;172;161;162;39,7;
33.06.18;165;154;154;35,5;
33.06.21;154;145;144;31,4;
33.06.24;130;116;118;20,9;
33.06.27;108;95;98;14,1;
33.06.30;84;74;80;9,4;
33.09.12;226;205;208;66,8;
33.09.13;210;188;191;56,8;
33.09.15;197;172;174;47,0;
33.09.16;183;160;161;40,6;
33.09.17;168;145;150;33,4;
33.09.18;153;127;131;26,3;
33.09.21;153;116;124;23,1;
33.09.24;124;89;98;14,6;
33.09.27;101;65;76;8,9;
33.09.30;89;47;58;6,6;
33.12.06;239;222;222;78,2;
33.12.09;228;202;205;65,2;
33.12.12;225;184;189;56,8;
33.12.15;212;160;168;44,7;RAL 3015
33.12.17;190;145;152;36,7;
33.12.18;184;132;142;31,3;
33.12.21;161;108;123;22,1;
33.12.24;140;88;105;16,2;
33.12.27;111;61;80;9,4;
33.12.30;81;46;63;6,1;
33.15.21;173;101;122;21,8;
33.15.24;140;68;83;12,4;RAL 4002
33.15.27;103;40;63;7,3;RAL 4004
33.18.24;175;52;77;14,5;
33.18.27;128;39;62;9,1;
36.03.03;240;231;232;83,1;
36.03.06;230;222;223;76,3;
36.03.09;214;207;209;65,8;
36.03.12;196;187;190;53,0;
36.03.15;184;174;177;46,0;
36.03.18;155;145;148;31,3;
36.03.21;128;120;124;21,5;
36.03.24;105;96;102;14,4;
36.03.27;83;75;82;9,5;
36.03.30;65;58;65;6,5;
36.06.03;242;231;232;84,6;
36.06.06;236;219;224;75,9;
36.06.09;226;204;212;66,5;
36.06.12;217;189;200;58,1;
36.06.15;196;167;179;45,4;
36.06.18;173;138;153;31,7;
36.06.21;145;113;128;21,7;
36.06.24;121;91;106;14,6;
36.06.27;96;69;83;9,5;
36.06.30;77;53;67;6,4;
